Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
Union Berlin,Bayern Munich,2,5,2,4,0.9,3.2
Freiburg,Greuther Fürth,3,1,1,1,1.5,0.8
Bayer Leverkusen,Wolfsburg,0,2,0,0,1.5,2.0
Arminia,Mainz 05,1,2,1,0,0.6,2.6
Eintracht Frankfurt,RB Leipzig,1,1,1,1,0.6,3.1
Mönchengladbach,Bochum,2,1,2,0,1.9,0.9
Augsburg,Stuttgart,4,1,4,1,2.1,0.9
Mainz 05,Mönchengladbach,1,1,0,0,1.1,1.6
Wolfsburg,Augsburg,1,0,1,0,0.5,0.7
Stuttgart,Arminia,0,1,0,1,0.9,1.8
RB Leipzig,Dortmund,2,1,2,1,2.6,0.9
Bochum,Hoffenheim,2,0,2,0,3.0,0.6
Bayern Munich,Freiburg,2,1,2,0,3.0,1.0
Greuther Fürth,Eintracht Frankfurt,1,2,0,2,2.5,1.3
Hertha BSC,Bayer Leverkusen,1,1,1,1,0.8,1.0
Köln,Union Berlin,2,2,1,2,1.8,1.0
Augsburg,Bayern Munich,2,1,1,1,0.4,1.3
Bayer Leverkusen,Bochum,1,0,1,0,1.7,0.8
Arminia,Wolfsburg,2,2,1,2,1.3,1.9
Dortmund,Stuttgart,2,1,1,1,2.6,1.6
Union Berlin,Hertha BSC,2,0,1,0,1.5,0.4
Mönchengladbach,Greuther Fürth,4,0,3,0,3.2,0.2
Hoffenheim,RB Leipzig,2,0,1,0,3.2,0.2
Mainz 05,Köln,1,1,1,1,0.8,2.2
Freiburg,Eintracht Frankfurt,0,2,0,0,1.4,1.2
Stuttgart,Mainz 05,2,1,2,1,0.3,0.8
Wolfsburg,Dortmund,1,3,1,2,2.0,2.3
Bayern Munich,Arminia,1,0,1,0,2.2,0.3
Hertha BSC,Augsburg,1,1,0,1,1.7,1.3
Köln,Mönchengladbach,4,1,2,1,1.4,1.0
Greuther Fürth,Hoffenheim,3,6,3,4,1.1,4.1
Bochum,Freiburg,2,1,1,1,1.1,2.4
RB Leipzig,Bayer Leverkusen,1,3,1,3,1.5,1.5
Eintracht Frankfurt,Union Berlin,2,1,1,0,1.3,1.1
Union Berlin,RB Leipzig,2,1,1,1,2.6,1.4
Bayer Leverkusen,Greuther Fürth,7,1,6,0,2.9,0.3
Mainz 05,Wolfsburg,3,0,2,0,1.2,0.7
Hoffenheim,Eintracht Frankfurt,3,2,1,2,0.9,1.5
Dortmund,Bayern Munich,2,3,2,1,1.2,3.1
Augsburg,Bochum,2,3,1,2,2.9,2.1
Arminia,Köln,1,1,1,1,1.1,1.1
Stuttgart,Hertha BSC,2,2,2,2,1.4,1.3
Mönchengladbach,Freiburg,0,6,0,5,0.9,2.0
Köln,Augsburg,0,2,0,0,1.0,0.8
Bochum,Dortmund,1,1,0,1,0.9,2.3
Bayern Munich,Mainz 05,2,1,2,1,1.6,0.8
Hertha BSC,Arminia,2,0,1,0,2.1,0.5
RB Leipzig,Mönchengladbach,4,1,4,1,4.7,1.2
Freiburg,Hoffenheim,1,2,1,2,1.7,1.0
Wolfsburg,Stuttgart,0,2,0,1,1.5,1.4
Eintracht Frankfurt,Bayer Leverkusen,5,2,2,1,1.7,1.7
Greuther Fürth,Union Berlin,1,0,0,0,0.8,1.5
Stuttgart,Bayern Munich,0,5,0,4,1.2,3.6
Arminia,Bochum,2,0,1,0,0.7,0.9
Mainz 05,Hertha BSC,4,0,4,0,2.9,0.4
Wolfsburg,Köln,2,3,2,1,2.5,3.9
Dortmund,Greuther Fürth,3,0,2,0,1.8,0.4
Mönchengladbach,Eintracht Frankfurt,2,3,1,3,2.1,2.3
Augsburg,RB Leipzig,1,1,0,1,1.2,2.3
Bayer Leverkusen,Hoffenheim,2,2,2,1,2.3,2.0
Union Berlin,Freiburg,0,0,0,0,1.9,1.2
Bayern Munich,Wolfsburg,4,0,3,0,3.7,1.1
RB Leipzig,Arminia,0,2,0,1,1.6,0.9
Eintracht Frankfurt,Mainz 05,1,0,1,0,1.8,0.6
Hoffenheim,Mönchengladbach,1,1,1,0,2.1,1.4
Hertha BSC,Dortmund,3,2,2,1,1.2,1.3
Bochum,Union Berlin,0,1,0,1,1.1,0.8
Greuther Fürth,Augsburg,0,0,0,0,0.1,1.2
Freiburg,Bayer Leverkusen,2,1,1,1,2.2,1.0
Köln,Stuttgart,1,0,1,0,2.0,0.4
Bayern Munich,Mönchengladbach,1,2,1,1,1.9,1.0
Eintracht Frankfurt,Dortmund,2,3,1,2,1.5,2.0
Hoffenheim,Augsburg,3,1,2,1,2.2,0.9
Greuther Fürth,Stuttgart,0,0,0,0,0.9,1.9
RB Leipzig,Mainz 05,4,1,3,1,3.2,0.3
Bayer Leverkusen,Union Berlin,2,2,1,1,1.7,3.0
Freiburg,Arminia,2,2,1,2,1.9,1.0
Bochum,Wolfsburg,1,0,0,0,0.9,0.4
Hertha BSC,Köln,1,3,0,1,1.2,1.2
Dortmund,Freiburg,5,1,5,0,2.4,0.9
Stuttgart,RB Leipzig,0,2,0,1,1.0,1.5
Wolfsburg,Hertha BSC,0,0,0,0,1.7,0.3
Mainz 05,Bochum,1,0,1,0,1.7,1.5
Mönchengladbach,Bayer Leverkusen,1,2,0,2,1.3,5.6
Union Berlin,Hoffenheim,2,1,1,0,1.4,0.8
Köln,Bayern Munich,0,4,0,4,1.1,3.3
Augsburg,Eintracht Frankfurt,1,1,1,1,1.0,2.6
Arminia,Greuther Fürth,2,2,1,2,0.5,0.7
Eintracht Frankfurt,Arminia,0,2,0,1,1.9,1.3
Greuther Fürth,Mainz 05,2,1,1,1,1.3,1.8
Mönchengladbach,Union Berlin,1,2,1,1,1.5,1.1
Bochum,Köln,2,2,2,1,1.8,1.1
Freiburg,Stuttgart,2,0,1,0,1.6,0.3
Bayer Leverkusen,Augsburg,5,1,4,0,2.9,1.5
Hoffenheim,Dortmund,2,3,2,2,1.7,1.6
Hertha BSC,Bayern Munich,1,4,0,0,0.9,5.5
RB Leipzig,Wolfsburg,2,0,1,0,1.6,0.9
Hertha BSC,Bochum,1,1,1,0,0.4,1.2
Köln,Freiburg,1,0,1,0,1.0,0.8
Mainz 05,Hoffenheim,2,0,1,0,2.2,1.6
Augsburg,Union Berlin,2,0,1,0,2.0,1.7
Stuttgart,Eintracht Frankfurt,2,3,2,3,1.6,1.1
Arminia,Mönchengladbach,1,1,1,1,0.5,2.0
Bayern Munich,RB Leipzig,3,2,1,2,3.2,2.2
Dortmund,Bayer Leverkusen,2,5,0,2,1.7,2.0
Wolfsburg,Greuther Fürth,4,1,1,0,2.5,1.1
RB Leipzig,Köln,3,1,2,1,0.9,0.9
Eintracht Frankfurt,Wolfsburg,0,2,0,0,1.0,1.5
Bayer Leverkusen,Stuttgart,4,2,3,1,1.9,1.1
Mönchengladbach,Augsburg,3,2,3,2,2.4,1.6
Bochum,Bayern Munich,4,2,2,1,1.4,1.9
Greuther Fürth,Hertha BSC,2,1,1,1,2.5,2.1
Freiburg,Mainz 05,1,1,1,0,1.8,2.6
Union Berlin,Dortmund,0,3,0,2,1.2,2.5
Hoffenheim,Arminia,2,0,2,0,3.0,1.0
Mainz 05,Bayer Leverkusen,3,2,0,2,1.0,1.0
Köln,Eintracht Frankfurt,1,0,1,0,1.1,0.6
Stuttgart,Bochum,1,1,0,0,1.2,2.0
Wolfsburg,Hoffenheim,1,2,1,2,1.5,1.5
Arminia,Union Berlin,1,0,1,0,0.8,0.9
Augsburg,Freiburg,1,2,1,1,1.1,2.1
Hertha BSC,RB Leipzig,1,6,1,3,1.0,3.4
Bayern Munich,Greuther Fürth,4,1,3,0,1.8,0.8
Dortmund,Mönchengladbach,6,0,4,0,3.9,0.9
Hoffenheim,Stuttgart,2,1,1,1,3.0,1.8
Bayer Leverkusen,Arminia,3,0,0,0,2.2,0.4
Union Berlin,Mainz 05,3,1,2,1,1.0,1.0
Eintracht Frankfurt,Bayern Munich,0,1,0,1,0.9,2.4
Greuther Fürth,Köln,1,1,1,1,0.7,0.6
Freiburg,Hertha BSC,3,0,1,0,2.6,1.3
Mönchengladbach,Wolfsburg,2,2,2,2,2.4,1.4
Augsburg,Dortmund,1,1,1,1,0.8,0.6
Bochum,RB Leipzig,0,1,0,1,0.9,0.7
Arminia,Augsburg,0,1,0,1,0.2,0.5
Wolfsburg,Union Berlin,1,0,0,0,0.5,1.3
Stuttgart,Mönchengladbach,3,2,1,2,2.4,0.9
Bayern Munich,Bayer Leverkusen,1,1,0,0,1.6,2.1
Hertha BSC,Eintracht Frankfurt,1,4,0,3,0.4,1.2
RB Leipzig,Freiburg,1,1,1,0,0.6,0.4
Bochum,Greuther Fürth,2,1,0,0,1.6,0.7
Köln,Hoffenheim,0,1,0,1,1.6,2.7
Hoffenheim,Bayern Munich,1,1,1,1,1.7,3.1
Mönchengladbach,Hertha BSC,2,0,1,0,1.8,0.6
Union Berlin,Stuttgart,1,1,0,1,1.5,1.0
Freiburg,Wolfsburg,3,2,2,1,1.3,1.3
Dortmund,Arminia,1,0,1,0,2.0,0.7
Greuther Fürth,RB Leipzig,1,6,0,6,0.3,1.7
Bayer Leverkusen,Köln,0,1,0,1,2.5,0.5
Eintracht Frankfurt,Bochum,2,1,1,1,1.9,1.1
Mainz 05,Dortmund,0,1,0,1,0.9,0.8
Hertha BSC,Hoffenheim,3,0,2,0,1.3,0.8
Mainz 05,Arminia,4,0,1,0,4.4,0.2
Stuttgart,Augsburg,3,2,2,2,2.2,1.0
Greuther Fürth,Freiburg,0,0,0,0,1.0,1.2
Bayern Munich,Union Berlin,4,0,3,0,2.7,1.0
Köln,Dortmund,1,1,1,1,1.2,1.2
RB Leipzig,Eintracht Frankfurt,0,0,0,0,1.2,0.2
Wolfsburg,Bayer Leverkusen,0,2,0,2,1.1,1.0
Union Berlin,Köln,1,0,0,0,1.3,0.3
Arminia,Stuttgart,1,1,1,0,1.0,2.3
Eintracht Frankfurt,Greuther Fürth,0,0,0,0,1.2,0.6
Bayer Leverkusen,Hertha BSC,2,1,2,1,1.6,0.8
Freiburg,Bayern Munich,1,4,1,3,0.6,2.2
Hoffenheim,Bochum,1,2,1,1,2.0,2.2
Dortmund,RB Leipzig,1,4,1,3,0.7,1.1
Augsburg,Wolfsburg,3,0,3,0,1.6,1.1
Mönchengladbach,Mainz 05,1,1,1,1,1.5,2.1
Augsburg,Mainz 05,2,1,1,1,1.8,1.8
Stuttgart,Dortmund,0,2,0,2,1.7,1.9
Bayern Munich,Augsburg,1,0,0,0,1.5,0.2
Wolfsburg,Arminia,4,0,3,0,2.0,0.4
Köln,Mainz 05,3,2,2,2,1.9,1.0
Hertha BSC,Union Berlin,1,4,0,4,0.7,1.9
Greuther Fürth,Mönchengladbach,0,2,0,1,0.5,2.7
Eintracht Frankfurt,Freiburg,1,2,1,2,0.9,1.0
Bochum,Bayer Leverkusen,0,0,0,0,0.7,1.4
RB Leipzig,Hoffenheim,3,0,3,0,1.5,0.2
Augsburg,Hertha BSC,0,1,0,1,1.0,1.1
Mönchengladbach,Köln,1,3,1,3,1.2,2.1
Freiburg,Bochum,3,0,3,0,2.2,0.4
Dortmund,Wolfsburg,6,1,6,0,3.0,1.6
Mainz 05,Stuttgart,0,0,0,0,0.6,0.7
Hoffenheim,Greuther Fürth,0,0,0,0,1.0,0.3
Arminia,Bayern Munich,0,3,0,2,0.4,2.7
Bayer Leverkusen,RB Leipzig,0,1,0,1,0.8,0.5
Union Berlin,Eintracht Frankfurt,2,0,2,0,1.1,0.5
Wolfsburg,Mainz 05,5,0,2,0,3.9,0.7
Köln,Arminia,3,1,3,0,2.0,0.9
Eintracht Frankfurt,Hoffenheim,2,2,2,1,1.3,0.7
Bayern Munich,Dortmund,3,1,3,0,1.8,1.3
Greuther Fürth,Bayer Leverkusen,1,4,1,2,0.9,2.5
Freiburg,Mönchengladbach,3,3,2,2,2.3,1.6
RB Leipzig,Union Berlin,1,2,0,2,0.6,1.4
Hertha BSC,Stuttgart,2,0,2,0,1.4,0.6
Bochum,Augsburg,0,2,0,0,1.2,2.0
Union Berlin,Greuther Fürth,1,1,0,0,1.4,0.3
Hoffenheim,Freiburg,3,4,3,4,2.0,2.4
Dortmund,Bochum,3,4,1,3,4.4,1.6
Augsburg,Köln,1,4,1,3,1.7,2.5
Stuttgart,Wolfsburg,1,1,1,1,0.8,1.4
Mainz 05,Bayern Munich,3,1,3,1,3.4,1.4
Arminia,Hertha BSC,1,1,1,1,0.5,1.5
Bayer Leverkusen,Eintracht Frankfurt,2,0,2,0,1.8,0.3
Mönchengladbach,RB Leipzig,3,1,2,1,1.5,1.1
Bochum,Arminia,2,1,1,1,2.1,0.8
Greuther Fürth,Dortmund,1,3,1,2,1.3,1.5
Köln,Wolfsburg,0,1,0,1,1.2,1.1
Hoffenheim,Bayer Leverkusen,2,4,2,4,2.6,4.0
Freiburg,Union Berlin,1,4,1,2,1.8,2.0
Hertha BSC,Mainz 05,1,2,0,2,1.1,0.7
Bayern Munich,Stuttgart,2,2,2,2,2.6,1.5
RB Leipzig,Augsburg,4,0,2,0,3.3,0.3
Eintracht Frankfurt,Mönchengladbach,1,1,1,1,0.8,1.4
Bayer Leverkusen,Freiburg,2,1,2,1,2.2,1.1
Union Berlin,Bochum,3,2,1,2,2.7,0.2
Wolfsburg,Bayern Munich,2,2,2,2,1.5,2.1
Mönchengladbach,Hoffenheim,5,1,2,1,3.3,1.6
Stuttgart,Köln,2,1,2,0,4.1,1.2
Augsburg,Greuther Fürth,2,1,1,1,1.1,0.5
Arminia,RB Leipzig,1,1,1,1,1.7,3.1
Mainz 05,Eintracht Frankfurt,2,2,1,1,1.3,1.8
Dortmund,Hertha BSC,2,1,1,0,1.4,1.0
Eintracht Frankfurt,Bayern Munich,1,6,0,4,0.9,4.0
Augsburg,Freiburg,0,4,0,2,0.7,1.2
Wolfsburg,Werder Bremen,2,2,1,2,1.0,0.8
Union Berlin,Hertha BSC,3,1,3,1,1.0,0.3
Bochum,Mainz 05,1,2,1,2,0.9,1.4
Mönchengladbach,Hoffenheim,3,1,3,1,2.0,0.1
Dortmund,Bayer Leverkusen,1,0,0,0,1.8,1.3
Stuttgart,RB Leipzig,1,1,1,1,0.8,1.7
Köln,Schalke 04,3,1,2,1,4.4,0.2
Freiburg,Dortmund,1,3,1,2,1.0,1.1
RB Leipzig,Köln,2,2,2,1,1.0,1.5
Bayer Leverkusen,Augsburg,1,2,0,1,2.6,0.4
Hertha BSC,Eintracht Frankfurt,1,1,1,1,1.7,1.6
Hoffenheim,Bochum,3,2,2,2,2.7,1.5
Schalke 04,Mönchengladbach,2,2,1,1,1.4,1.3
Werder Bremen,Stuttgart,2,2,2,2,0.5,1.4
Mainz 05,Union Berlin,0,0,0,0,0.7,0.4
Bayern Munich,Wolfsburg,2,0,1,0,2.2,0.5
Mönchengladbach,Hertha BSC,1,0,0,0,2.7,1.0
Wolfsburg,Schalke 04,0,0,0,0,1.3,1.1
Dortmund,Werder Bremen,2,3,2,2,0.5,1.3
Bayer Leverkusen,Hoffenheim,0,3,0,2,1.2,1.5
Union Berlin,RB Leipzig,2,1,2,1,0.7,0.9
Stuttgart,Freiburg,0,1,0,1,0.9,0.6
Augsburg,Mainz 05,1,2,1,2,0.5,2.2
Bochum,Bayern Munich,0,7,0,4,0.7,3.2
Eintracht Frankfurt,Köln,1,1,0,0,0.9,0.3
Freiburg,Bochum,1,0,0,0,4.2,1.3
Hoffenheim,Augsburg,1,0,1,0,1.9,0.6
Schalke 04,Union Berlin,1,6,0,4,1.9,1.1
Bayern Munich,Mönchengladbach,1,1,1,0,2.8,0.5
Mainz 05,Bayer Leverkusen,0,3,0,1,1.4,1.9
Hertha BSC,Dortmund,0,1,0,1,0.5,2.7
RB Leipzig,Wolfsburg,2,0,0,0,3.5,0.5
Werder Bremen,Eintracht Frankfurt,3,4,1,3,1.8,1.8
Köln,Stuttgart,0,0,0,0,0.6,2.2
Dortmund,Hoffenheim,1,0,1,0,2.0,0.5
Eintracht Frankfurt,RB Leipzig,4,0,2,0,3.1,0.2
Bayer Leverkusen,Freiburg,2,3,1,3,1.8,1.9
Stuttgart,Schalke 04,1,1,1,1,0.6,2.3
Bochum,Werder Bremen,0,2,0,1,0.8,2.0
Wolfsburg,Köln,2,4,2,2,1.0,2.7
Union Berlin,Bayern Munich,1,1,1,0,0.3,1.5
Augsburg,Hertha BSC,0,2,0,2,0.4,2.1
Mönchengladbach,Mainz 05,0,1,0,0,1.2,0.6
Werder Bremen,Augsburg,0,1,0,1,1.5,1.0
Hoffenheim,Mainz 05,4,1,4,0,4.3,0.7
RB Leipzig,Dortmund,3,0,3,0,2.0,0.6
Schalke 04,Bochum,3,1,1,1,1.5,1.1
Eintracht Frankfurt,Wolfsburg,0,1,0,1,0.7,1.0
Bayern Munich,Stuttgart,2,2,2,1,2.2,1.2
Hertha BSC,Bayer Leverkusen,2,2,1,1,1.9,1.3
Köln,Union Berlin,0,1,0,0,0.6,1.5
Freiburg,Mönchengladbach,0,0,0,0,1.1,1.2
Mainz 05,Hertha BSC,1,1,0,1,0.7,0.4
Bayer Leverkusen,Werder Bremen,1,1,1,0,1.9,2.2
Augsburg,Bayern Munich,1,0,1,0,1.8,1.6
Mönchengladbach,RB Leipzig,3,0,2,0,2.8,0.9
Dortmund,Schalke 04,1,0,1,0,1.8,0.1
Stuttgart,Eintracht Frankfurt,1,3,1,1,1.1,1.0
Union Berlin,Wolfsburg,2,0,2,0,1.4,0.3
Bochum,Köln,1,1,0,0,0.2,2.1
Hoffenheim,Freiburg,0,0,0,0,0.7,1.0
Bayern Munich,Bayer Leverkusen,4,0,3,0,1.9,0.8
RB Leipzig,Bochum,4,0,1,0,4.1,0.1
Wolfsburg,Stuttgart,3,2,3,2,2.1,1.5
Eintracht Frankfurt,Union Berlin,2,0,1,0,0.9,1.0
Werder Bremen,Mönchengladbach,5,1,3,1,1.9,2.3
Freiburg,Mainz 05,2,1,1,1,2.4,1.7
Köln,Dortmund,3,2,3,1,1.9,2.6
Hertha BSC,Hoffenheim,1,1,1,1,0.9,1.5
Schalke 04,Augsburg,2,3,2,2,1.9,1.4
Hoffenheim,Werder Bremen,1,2,1,1,1.8,1.4
Augsburg,Wolfsburg,1,1,0,1,2.0,1.8
Mainz 05,RB Leipzig,1,1,1,1,0.6,1.1
Dortmund,Bayern Munich,2,2,2,1,1.6,0.6
Bayer Leverkusen,Schalke 04,4,0,4,0,1.5,0.4
Bochum,Eintracht Frankfurt,3,0,2,0,0.6,0.9
Mönchengladbach,Köln,5,2,3,0,3.0,1.3
Hertha BSC,Freiburg,2,2,1,2,1.6,1.0
Stuttgart,Union Berlin,0,1,0,1,1.0,0.7
Schalke 04,Hoffenheim,0,3,0,1,0.7,3.3
Eintracht Frankfurt,Bayer Leverkusen,5,1,2,1,3.9,0.4
RB Leipzig,Hertha BSC,3,2,2,0,3.1,2.4
Stuttgart,Bochum,4,1,2,0,2.2,1.6
Wolfsburg,Mönchengladbach,2,2,2,1,1.8,0.8
Werder Bremen,Mainz 05,0,2,0,2,1.3,1.1
Union Berlin,Dortmund,2,0,1,0,1.9,0.8
Bayern Munich,Freiburg,5,0,3,0,2.1,0.3
Köln,Augsburg,3,2,1,2,1.5,0.4
Mainz 05,Köln,5,0,2,0,1.9,0.7
Augsburg,RB Leipzig,3,3,2,1,1.6,2.5
Freiburg,Werder Bremen,2,0,1,0,3.0,0.5
Dortmund,Stuttgart,5,0,5,0,2.6,1.0
Mönchengladbach,Eintracht Frankfurt,1,3,1,2,1.0,1.9
Hoffenheim,Bayern Munich,0,2,0,2,0.8,2.5
Bayer Leverkusen,Wolfsburg,2,2,2,0,2.3,1.2
Bochum,Union Berlin,2,1,2,0,1.1,1.0
Hertha BSC,Schalke 04,2,1,1,1,0.8,0.6
Werder Bremen,Hertha BSC,1,0,1,0,1.4,0.4
Wolfsburg,Bochum,4,0,4,0,2.0,0.5
Bayern Munich,Mainz 05,6,2,5,2,3.2,2.2
Eintracht Frankfurt,Dortmund,1,2,1,2,2.0,0.6
Stuttgart,Augsburg,2,1,2,1,2.7,1.0
RB Leipzig,Bayer Leverkusen,2,0,2,0,1.2,0.1
Schalke 04,Freiburg,0,2,0,1,0.6,2.3
Köln,Hoffenheim,1,1,1,1,1.2,0.9
Union Berlin,Mönchengladbach,2,1,2,1,0.9,1.0
Mönchengladbach,Stuttgart,3,1,3,1,0.9,1.2
Werder Bremen,Schalke 04,2,1,2,1,1.0,1.4
Dortmund,Bochum,3,0,0,0,1.5,0.6
Mainz 05,Wolfsburg,0,3,0,2,1.0,0.6
Hertha BSC,Bayern Munich,2,3,1,1,1.2,1.9
Augsburg,Eintracht Frankfurt,1,2,1,1,1.2,1.2
Hoffenheim,RB Leipzig,1,3,1,1,0.9,1.7
Bayer Leverkusen,Union Berlin,5,0,5,0,1.9,0.3
Freiburg,Köln,2,0,2,0,1.5,0.5
Stuttgart,Hertha BSC,2,1,2,1,2.0,0.7
Bayern Munich,Werder Bremen,6,1,4,1,4.4,1.3
Wolfsburg,Dortmund,2,0,1,0,2.5,1.6
Bochum,Mönchengladbach,2,1,1,1,2.0,0.8
Union Berlin,Augsburg,2,2,2,1,1.2,0.6
Eintracht Frankfurt,Hoffenheim,4,2,3,1,2.8,1.8
Köln,Bayer Leverkusen,1,2,1,1,1.5,1.4
Schalke 04,Mainz 05,1,0,0,0,1.5,0.8
RB Leipzig,Freiburg,3,1,1,0,3.0,0.2
Mönchengladbach,Dortmund,4,2,4,1,2.1,3.3
Bayer Leverkusen,Stuttgart,2,0,2,0,1.6,0.3
Werder Bremen,RB Leipzig,1,2,1,2,0.9,1.7
Schalke 04,Bayern Munich,0,2,0,2,0.8,1.9
Hoffenheim,Wolfsburg,1,2,1,1,1.4,0.7
Hertha BSC,Köln,2,0,1,0,1.8,1.8
Augsburg,Bochum,0,1,0,1,2.3,1.1
Freiburg,Union Berlin,4,1,2,0,2.3,1.7
Mainz 05,Eintracht Frankfurt,1,1,1,1,1.5,1.8
RB Leipzig,Bayern Munich,1,1,1,1,0.8,0.7
Stuttgart,Mainz 05,1,1,1,0,1.7,1.5
Union Berlin,Hoffenheim,3,1,3,1,2.9,1.0
Eintracht Frankfurt,Schalke 04,3,0,3,0,1.2,1.9
Bochum,Hertha BSC,3,1,3,0,1.6,1.0
Wolfsburg,Freiburg,6,0,5,0,2.7,0.7
Köln,Werder Bremen,7,1,5,1,3.2,0.3
Dortmund,Augsburg,4,3,4,1,2.9,1.8
Mönchengladbach,Bayer Leverkusen,2,3,2,2,1.0,2.1
